0.000: (melt_candle_wax s1) [900.000]
900.001: (dip_cloth s10) [600.000]
1500.002: (tie_cloth_to_frame s11) [300.000]
1800.003: (buy_metal_wire s12) [600.000]
2400.004: (make_wire_ring s13) [600.000]
3000.005: (glue_ring_to_shell s14) [300.000]
3000.005: (run_cross_wires s15) [600.000]
3600.006: (cut_square_paper s16) [300.000]
3600.006: (buy_wax_paper s17) [300.000]
3900.007: (cut_wax_paper s2) [600.000]
4500.008: (glue_long_edges s3) [300.000]
4800.009: (glue_short_ends s4) [300.000]
5100.010: (glue_square_top s5) [600.000]
5700.011: (light_lantern_outdoor s6) [120.000]
5820.012: (hold_and_light_cloth s7) [120.000]
5940.013: (hold_until_pulling s8) [600.000]
6540.014: (release_lantern s9) [120.000]
