0.000: (do_step5 step1) [3600.000]
0.000: (do_step27 step2) [600.000]
0.000: (do_step24 step9) [30.000]
0.000: (do_step24 step8) [30.000]
0.000: (do_step24 step7) [30.000]
0.000: (do_step24 step6) [30.000]
0.000: (do_step24 step5) [30.000]
0.000: (do_step24 step4) [30.000]
0.000: (do_step24 step30) [30.000]
0.000: (do_step24 step3) [30.000]
0.000: (do_step24 step29) [30.000]
0.000: (do_step24 step28) [30.000]
0.000: (do_step24 step27) [30.000]
0.000: (do_step24 step26) [30.000]
0.000: (do_step24 step25) [30.000]
0.000: (do_step24 step24) [30.000]
0.000: (do_step24 step23) [30.000]
0.000: (do_step24 step22) [30.000]
0.000: (do_step24 step21) [30.000]
0.000: (do_step24 step20) [30.000]
0.000: (do_step24 step19) [30.000]
0.000: (do_step24 step18) [30.000]
0.000: (do_step24 step17) [30.000]
0.000: (do_step24 step16) [30.000]
0.000: (do_step24 step15) [30.000]
0.000: (do_step24 step14) [30.000]
0.000: (do_step24 step13) [30.000]
0.000: (do_step24 step12) [30.000]
600.001: (do_step8 step10) [1200.000]
3600.001: (do_step30 step11) [300.000]
