0.000: (do-step50 step1) [300.000]
0.000: (do-step3 step9) [5.000]
0.000: (do-step3 step8) [5.000]
0.000: (do-step3 step7) [5.000]
0.000: (do-step3 step6) [5.000]
0.000: (do-step3 step50) [5.000]
0.000: (do-step3 step5) [5.000]
0.000: (do-step3 step49) [5.000]
0.000: (do-step3 step48) [5.000]
0.000: (do-step3 step47) [5.000]
0.000: (do-step3 step46) [5.000]
0.000: (do-step3 step45) [5.000]
0.000: (do-step3 step44) [5.000]
0.000: (do-step3 step43) [5.000]
0.000: (do-step3 step42) [5.000]
0.000: (do-step3 step41) [5.000]
0.000: (do-step3 step40) [5.000]
0.000: (do-step3 step4) [5.000]
0.000: (do-step3 step39) [5.000]
0.000: (do-step3 step38) [5.000]
0.000: (do-step3 step37) [5.000]
0.000: (do-step3 step36) [5.000]
0.000: (do-step3 step35) [5.000]
0.000: (do-step3 step34) [5.000]
0.000: (do-step3 step33) [5.000]
0.000: (do-step3 step32) [5.000]
0.000: (do-step3 step31) [5.000]
0.000: (do-step3 step30) [5.000]
0.000: (do-step3 step3) [5.000]
0.000: (do-step3 step29) [5.000]
0.000: (do-step3 step28) [5.000]
0.000: (do-step3 step27) [5.000]
0.000: (do-step3 step26) [5.000]
0.000: (do-step3 step25) [5.000]
0.000: (do-step3 step24) [5.000]
0.000: (do-step3 step23) [5.000]
0.000: (do-step3 step22) [5.000]
0.000: (do-step3 step21) [5.000]
0.000: (do-step3 step20) [5.000]
0.000: (do-step3 step2) [5.000]
0.000: (do-step3 step19) [5.000]
0.000: (do-step3 step18) [5.000]
0.000: (do-step3 step17) [5.000]
0.000: (do-step3 step16) [5.000]
0.000: (do-step3 step15) [5.000]
0.000: (do-step3 step14) [5.000]
0.000: (do-step3 step13) [5.000]
0.000: (do-step3 step12) [5.000]
0.000: (do-step3 step11) [5.000]
0.000: (do-step3 step10) [5.000]
