0.000: (step6 step1) [18000.000]
0.000: (step26 step2) [3600.000]
0.000: (step8 step9) [1200.000]
0.000: (step8 step8) [1200.000]
0.000: (step8 step7) [1200.000]
0.000: (step8 step6) [1200.000]
0.000: (step8 step5) [1200.000]
0.000: (step8 step4) [1200.000]
0.000: (step8 step30) [1200.000]
0.000: (step8 step3) [1200.000]
0.000: (step8 step29) [1200.000]
0.000: (step8 step28) [1200.000]
0.000: (step8 step27) [1200.000]
0.000: (step8 step26) [1200.000]
0.000: (step8 step25) [1200.000]
0.000: (step8 step24) [1200.000]
0.000: (step8 step23) [1200.000]
0.000: (step8 step22) [1200.000]
0.000: (step8 step21) [1200.000]
0.000: (step8 step20) [1200.000]
0.000: (step8 step19) [1200.000]
0.000: (step8 step18) [1200.000]
0.000: (step8 step17) [1200.000]
0.000: (step8 step16) [1200.000]
0.000: (step8 step15) [1200.000]
0.000: (step8 step14) [1200.000]
18000.001: (step14 step10) [21600.000]
39600.002: (step3 step11) [3600.000]
43200.003: (step2 step12) [1800.000]
45000.004: (step29 step13) [900.000]
