0.000: (gather_driver_information step1) [360.000]
0.000: (receive_dispatch_call step9) [120.000]
0.000: (receive_dispatch_call step8) [120.000]
0.000: (receive_dispatch_call step7) [120.000]
0.000: (receive_dispatch_call step6) [120.000]
0.000: (receive_dispatch_call step5) [120.000]
0.000: (receive_dispatch_call step4) [120.000]
0.000: (receive_dispatch_call step3) [120.000]
0.000: (receive_dispatch_call step2) [120.000]
0.000: (receive_dispatch_call step15) [120.000]
0.000: (receive_dispatch_call step14) [120.000]
120.001: (verify_vehicle step10) [240.000]
360.002: (secure_wheel_straps step11) [720.000]
1080.003: (drive_to_impound_lot step12) [2700.000]
3780.004: (complete_trip_log step13) [600.000]
