0.000: (do_step26 step1) [300.000]
0.000: (do_step29 step2) [900.000]
0.000: (do_step21 step9) [120.000]
0.000: (do_step21 step8) [120.000]
0.000: (do_step21 step7) [120.000]
0.000: (do_step21 step6) [120.000]
0.000: (do_step21 step5) [120.000]
0.000: (do_step21 step4) [120.000]
0.000: (do_step21 step30) [120.000]
0.000: (do_step21 step3) [120.000]
0.000: (do_step21 step29) [120.000]
0.000: (do_step21 step28) [120.000]
0.000: (do_step21 step27) [120.000]
0.000: (do_step21 step26) [120.000]
0.000: (do_step21 step25) [120.000]
0.000: (do_step21 step24) [120.000]
0.000: (do_step21 step23) [120.000]
0.000: (do_step21 step22) [120.000]
0.000: (do_step21 step21) [120.000]
0.000: (do_step21 step20) [120.000]
0.000: (do_step21 step19) [120.000]
0.000: (do_step21 step18) [120.000]
0.000: (do_step21 step17) [120.000]
0.000: (do_step21 step16) [120.000]
0.000: (do_step21 step15) [120.000]
0.000: (do_step21 step14) [120.000]
120.001: (do_step18 step12) [172800.000]
900.001: (do_step15 step10) [600.000]
1500.002: (do_step7 step11) [86400.000]
172920.002: (do_step30 step13) [600.000]
