0.000: (do_step12 step1) [3.000]
0.000: (do_step28 step2) [40.000]
0.000: (do_step16 step3) [15.000]
0.000: (do_step8 step9) [2.000]
0.000: (do_step8 step8) [2.000]
0.000: (do_step8 step7) [2.000]
0.000: (do_step8 step6) [2.000]
0.000: (do_step8 step5) [2.000]
0.000: (do_step8 step4) [2.000]
0.000: (do_step8 step30) [2.000]
0.000: (do_step8 step29) [2.000]
0.000: (do_step8 step28) [2.000]
0.000: (do_step8 step27) [2.000]
0.000: (do_step8 step26) [2.000]
0.000: (do_step8 step25) [2.000]
0.000: (do_step8 step24) [2.000]
0.000: (do_step8 step23) [2.000]
0.000: (do_step8 step22) [2.000]
0.000: (do_step8 step21) [2.000]
0.000: (do_step8 step20) [2.000]
0.000: (do_step8 step19) [2.000]
0.000: (do_step8 step18) [2.000]
0.000: (do_step8 step17) [2.000]
2.001: (do_step18 step12) [5.000]
7.002: (do_step29 step13) [5.000]
40.001: (do_step19 step10) [45.000]
85.002: (do_step22 step11) [5.000]
90.003: (do_step10 step14) [2.000]
92.004: (do_step30 step15) [10.000]
102.005: (do_step9 step16) [900.000]
