0.000: (do-step90 step1) [120.000]
0.000: (do-step5 step90) [30.000]
0.000: (do-step5 step9) [30.000]
0.000: (do-step5 step89) [30.000]
0.000: (do-step5 step88) [30.000]
0.000: (do-step5 step87) [30.000]
0.000: (do-step5 step86) [30.000]
0.000: (do-step5 step85) [30.000]
0.000: (do-step5 step84) [30.000]
0.000: (do-step5 step83) [30.000]
0.000: (do-step5 step82) [30.000]
0.000: (do-step5 step81) [30.000]
0.000: (do-step5 step80) [30.000]
0.000: (do-step5 step8) [30.000]
0.000: (do-step5 step79) [30.000]
0.000: (do-step5 step78) [30.000]
0.000: (do-step5 step77) [30.000]
0.000: (do-step5 step76) [30.000]
0.000: (do-step5 step75) [30.000]
0.000: (do-step5 step74) [30.000]
0.000: (do-step5 step73) [30.000]
0.000: (do-step5 step72) [30.000]
0.000: (do-step5 step71) [30.000]
0.000: (do-step5 step70) [30.000]
0.000: (do-step5 step7) [30.000]
0.000: (do-step5 step69) [30.000]
0.000: (do-step5 step68) [30.000]
0.000: (do-step5 step67) [30.000]
0.000: (do-step5 step66) [30.000]
0.000: (do-step5 step65) [30.000]
0.000: (do-step5 step64) [30.000]
0.000: (do-step5 step63) [30.000]
0.000: (do-step5 step62) [30.000]
0.000: (do-step5 step61) [30.000]
0.000: (do-step5 step60) [30.000]
0.000: (do-step5 step6) [30.000]
0.000: (do-step5 step59) [30.000]
0.000: (do-step5 step58) [30.000]
0.000: (do-step5 step57) [30.000]
0.000: (do-step5 step56) [30.000]
0.000: (do-step5 step55) [30.000]
0.000: (do-step5 step54) [30.000]
0.000: (do-step5 step53) [30.000]
0.000: (do-step5 step52) [30.000]
0.000: (do-step5 step51) [30.000]
0.000: (do-step5 step50) [30.000]
0.000: (do-step5 step5) [30.000]
0.000: (do-step5 step49) [30.000]
0.000: (do-step5 step48) [30.000]
0.000: (do-step5 step47) [30.000]
0.000: (do-step5 step46) [30.000]
0.000: (do-step5 step45) [30.000]
0.000: (do-step5 step44) [30.000]
0.000: (do-step5 step43) [30.000]
0.000: (do-step5 step42) [30.000]
0.000: (do-step5 step41) [30.000]
0.000: (do-step5 step40) [30.000]
0.000: (do-step5 step4) [30.000]
0.000: (do-step5 step39) [30.000]
0.000: (do-step5 step38) [30.000]
0.000: (do-step5 step37) [30.000]
0.000: (do-step5 step36) [30.000]
0.000: (do-step5 step35) [30.000]
0.000: (do-step5 step34) [30.000]
0.000: (do-step5 step33) [30.000]
0.000: (do-step5 step32) [30.000]
0.000: (do-step5 step31) [30.000]
0.000: (do-step5 step30) [30.000]
0.000: (do-step5 step3) [30.000]
0.000: (do-step5 step29) [30.000]
0.000: (do-step5 step28) [30.000]
0.000: (do-step5 step27) [30.000]
0.000: (do-step5 step26) [30.000]
0.000: (do-step5 step25) [30.000]
0.000: (do-step5 step24) [30.000]
0.000: (do-step5 step23) [30.000]
0.000: (do-step5 step22) [30.000]
0.000: (do-step5 step21) [30.000]
0.000: (do-step5 step20) [30.000]
0.000: (do-step5 step2) [30.000]
0.000: (do-step5 step19) [30.000]
0.000: (do-step5 step18) [30.000]
0.000: (do-step5 step17) [30.000]
0.000: (do-step5 step16) [30.000]
0.000: (do-step5 step15) [30.000]
0.000: (do-step5 step14) [30.000]
0.000: (do-step5 step13) [30.000]
0.000: (do-step5 step12) [30.000]
0.000: (do-step5 step11) [30.000]
0.000: (do-step5 step10) [30.000]
