0.000: (step5_juice_lemons step1) [240.000]
0.000: (step6_preheat_oven step2) [900.000]
0.000: (step7_soften_butter step9) [30.000]
0.000: (step7_soften_butter step8) [30.000]
0.000: (step7_soften_butter step7) [30.000]
0.000: (step7_soften_butter step6) [30.000]
0.000: (step7_soften_butter step5) [30.000]
0.000: (step7_soften_butter step4) [30.000]
0.000: (step7_soften_butter step3) [30.000]
0.000: (step7_soften_butter step20) [30.000]
0.000: (step7_soften_butter step19) [30.000]
0.000: (step7_soften_butter step18) [30.000]
0.000: (step7_soften_butter step17) [30.000]
0.000: (step7_soften_butter step16) [30.000]
0.000: (step7_soften_butter step15) [30.000]
0.000: (step7_soften_butter step14) [30.000]
0.000: (step7_soften_butter step13) [30.000]
0.000: (step7_soften_butter step12) [30.000]
0.000: (step7_soften_butter step11) [30.000]
900.001: (step19_cool_muffins step10) [1200.000]
