0.000: (step34 step1) [10800.000]
0.000: (step38 step9) [1200.000]
0.000: (step38 step8) [1200.000]
0.000: (step38 step7) [1200.000]
0.000: (step38 step6) [1200.000]
0.000: (step38 step5) [1200.000]
0.000: (step38 step40) [1200.000]
0.000: (step38 step4) [1200.000]
0.000: (step38 step39) [1200.000]
0.000: (step38 step38) [1200.000]
0.000: (step38 step37) [1200.000]
0.000: (step38 step36) [1200.000]
0.000: (step38 step35) [1200.000]
0.000: (step38 step34) [1200.000]
0.000: (step38 step33) [1200.000]
0.000: (step38 step32) [1200.000]
0.000: (step38 step31) [1200.000]
0.000: (step38 step30) [1200.000]
0.000: (step38 step3) [1200.000]
0.000: (step38 step29) [1200.000]
0.000: (step38 step28) [1200.000]
0.000: (step38 step27) [1200.000]
0.000: (step38 step26) [1200.000]
0.000: (step38 step25) [1200.000]
0.000: (step38 step24) [1200.000]
0.000: (step38 step23) [1200.000]
0.000: (step38 step22) [1200.000]
0.000: (step38 step21) [1200.000]
0.000: (step38 step20) [1200.000]
0.000: (step38 step2) [1200.000]
0.000: (step38 step19) [1200.000]
0.000: (step38 step18) [1200.000]
0.000: (step38 step17) [1200.000]
0.000: (step38 step16) [1200.000]
0.000: (step38 step15) [1200.000]
0.000: (step38 step14) [1200.000]
0.000: (step38 step13) [1200.000]
0.000: (step38 step12) [1200.000]
10800.001: (step39 step10) [7200.000]
18000.002: (step40 step11) [36000.000]
