0.000: (step4 step1) [2700.000]
0.000: (step26 step2) [300.000]
0.000: (step18 step3) [60.000]
0.000: (step12 step4) [300.000]
0.000: (step10 step5) [120.000]
0.000: (step8 step9) [60.000]
0.000: (step8 step8) [60.000]
0.000: (step8 step7) [60.000]
0.000: (step8 step6) [60.000]
0.000: (step8 step30) [60.000]
0.000: (step8 step29) [60.000]
0.000: (step8 step28) [60.000]
0.000: (step8 step27) [60.000]
0.000: (step8 step26) [60.000]
0.000: (step8 step25) [60.000]
0.000: (step8 step24) [60.000]
0.000: (step8 step23) [60.000]
0.000: (step8 step22) [60.000]
0.000: (step8 step21) [60.000]
0.000: (step8 step20) [60.000]
0.000: (step8 step19) [60.000]
0.000: (step8 step18) [60.000]
0.000: (step8 step17) [60.000]
300.001: (step24 step10) [240.000]
300.001: (step16 step11) [120.000]
420.002: (step15 step12) [300.000]
540.002: (step23 step13) [300.000]
720.003: (step1 step14) [120.000]
2700.001: (step28 step15) [60.000]
2760.002: (step5 step16) [300.000]
