0.000: (do_step_8 step1) [3600.000]
0.000: (do_step_1 step9) [600.000]
0.000: (do_step_1 step8) [600.000]
0.000: (do_step_1 step7) [600.000]
0.000: (do_step_1 step6) [600.000]
0.000: (do_step_1 step50) [600.000]
0.000: (do_step_1 step5) [600.000]
0.000: (do_step_1 step49) [600.000]
0.000: (do_step_1 step48) [600.000]
0.000: (do_step_1 step47) [600.000]
0.000: (do_step_1 step46) [600.000]
0.000: (do_step_1 step45) [600.000]
0.000: (do_step_1 step44) [600.000]
0.000: (do_step_1 step43) [600.000]
0.000: (do_step_1 step42) [600.000]
0.000: (do_step_1 step41) [600.000]
0.000: (do_step_1 step40) [600.000]
0.000: (do_step_1 step4) [600.000]
0.000: (do_step_1 step39) [600.000]
0.000: (do_step_1 step38) [600.000]
0.000: (do_step_1 step37) [600.000]
0.000: (do_step_1 step36) [600.000]
0.000: (do_step_1 step35) [600.000]
0.000: (do_step_1 step34) [600.000]
0.000: (do_step_1 step33) [600.000]
0.000: (do_step_1 step32) [600.000]
0.000: (do_step_1 step31) [600.000]
0.000: (do_step_1 step30) [600.000]
0.000: (do_step_1 step3) [600.000]
0.000: (do_step_1 step29) [600.000]
0.000: (do_step_1 step28) [600.000]
0.000: (do_step_1 step27) [600.000]
0.000: (do_step_1 step26) [600.000]
0.000: (do_step_1 step25) [600.000]
0.000: (do_step_1 step24) [600.000]
0.000: (do_step_1 step23) [600.000]
0.000: (do_step_1 step22) [600.000]
0.000: (do_step_1 step21) [600.000]
0.000: (do_step_1 step20) [600.000]
0.000: (do_step_1 step2) [600.000]
0.000: (do_step_1 step19) [600.000]
0.000: (do_step_1 step18) [600.000]
0.000: (do_step_1 step17) [600.000]
0.000: (do_step_1 step16) [600.000]
0.000: (do_step_1 step15) [600.000]
0.000: (do_step_1 step14) [600.000]
0.000: (do_step_1 step13) [600.000]
0.000: (do_step_1 step12) [600.000]
0.000: (do_step_1 step11) [600.000]
3600.001: (do_step_50 step10) [300.000]
