0.000: (do_step19 step1) [240.000]
0.000: (do_step8 step9) [120.000]
0.000: (do_step8 step8) [120.000]
0.000: (do_step8 step7) [120.000]
0.000: (do_step8 step6) [120.000]
0.000: (do_step8 step5) [120.000]
0.000: (do_step8 step4) [120.000]
0.000: (do_step8 step3) [120.000]
0.000: (do_step8 step20) [120.000]
0.000: (do_step8 step2) [120.000]
0.000: (do_step8 step19) [120.000]
0.000: (do_step8 step18) [120.000]
0.000: (do_step8 step17) [120.000]
0.000: (do_step8 step16) [120.000]
0.000: (do_step8 step15) [120.000]
0.000: (do_step8 step14) [120.000]
0.000: (do_step8 step13) [120.000]
0.000: (do_step8 step12) [120.000]
0.000: (do_step8 step11) [120.000]
240.001: (do_step1 step10) [120.000]
