0.000: (step3_research step1) [3600.000]
3600.001: (step10_track_symptoms step10) [604800.000]
3600.001: (step8_purchase_lubricants step11) [1200.000]
3600.001: (step1_schedule_consultation step12) [600.000]
4200.002: (step6_attend_exam step13) [2700.000]
4800.002: (step15_test_lubricant step14) [86400.000]
6900.003: (step4_discuss_options step15) [1200.000]
8100.004: (step7_pelvic_exam step2) [900.000]
9000.005: (step9_review_results step3) [172800.000]
91200.003: (step11_read_pamphlet step4) [600.000]
91800.004: (step12_set_reminder step5) [120.000]
181800.006: (step13_schedule_followup step6) [300.000]
181800.006: (step14_request_prescription step7) [300.000]
182100.007: (step5_pickup_prescription step8) [900.000]
183000.008: (step2_apply_cream step9) [300.000]
