0.000: (step5_gather_supplies step1) [120.000]
0.000: (step11_line_rack step2) [60.000]
0.000: (step9_retrieve_pumpkin step9) [60.000]
0.000: (step9_retrieve_pumpkin step8) [60.000]
0.000: (step9_retrieve_pumpkin step7) [60.000]
0.000: (step9_retrieve_pumpkin step6) [60.000]
0.000: (step9_retrieve_pumpkin step5) [60.000]
0.000: (step9_retrieve_pumpkin step4) [60.000]
0.000: (step9_retrieve_pumpkin step3) [60.000]
0.000: (step9_retrieve_pumpkin step15) [60.000]
0.000: (step9_retrieve_pumpkin step14) [60.000]
120.001: (step15_clear_workspace step10) [300.000]
420.002: (step10_cut_dough step11) [1200.000]
1620.003: (step13_place_treats step12) [300.000]
1920.004: (step14_bake_treats step13) [1800.000]
