0.000: (step20 step1) [172800.000]
0.000: (step14 step9) [300.000]
0.000: (step14 step8) [300.000]
0.000: (step14 step7) [300.000]
0.000: (step14 step6) [300.000]
0.000: (step14 step5) [300.000]
0.000: (step14 step4) [300.000]
0.000: (step14 step3) [300.000]
0.000: (step14 step20) [300.000]
0.000: (step14 step2) [300.000]
0.000: (step14 step19) [300.000]
0.000: (step14 step18) [300.000]
0.000: (step14 step17) [300.000]
0.000: (step14 step16) [300.000]
0.000: (step14 step15) [300.000]
0.000: (step14 step14) [300.000]
0.000: (step14 step13) [300.000]
0.000: (step14 step12) [300.000]
0.000: (step14 step11) [300.000]
172800.001: (step15 step10) [30.000]
