0.000: (iron_outfit step1) [1800.000]
0.000: (review_linkedin step2) [900.000]
0.000: (charge_phone step3) [5400.000]
0.000: (put_shoes_out step9) [120.000]
0.000: (put_shoes_out step8) [120.000]
0.000: (put_shoes_out step7) [120.000]
0.000: (put_shoes_out step6) [120.000]
0.000: (put_shoes_out step5) [120.000]
0.000: (put_shoes_out step4) [120.000]
0.000: (put_shoes_out step20) [120.000]
0.000: (put_shoes_out step19) [120.000]
0.000: (put_shoes_out step18) [120.000]
0.000: (put_shoes_out step17) [120.000]
0.000: (put_shoes_out step16) [120.000]
900.001: (confirm_details step10) [300.000]
1200.002: (shine_shoes step11) [600.000]
1800.003: (shower_and_dress step12) [1500.000]
3300.004: (eat_breakfast step13) [1200.000]
4500.005: (brush_teeth step14) [300.000]
5400.001: (drive_to_office step15) [2700.000]
