0.000: (do_step1 step1) [259200.000]
0.000: (do_step40 step2) [300.000]
0.000: (do_step39 step3) [1200.000]
0.000: (do_step25 step4) [120.000]
0.000: (do_step24 step9) [30.000]
0.000: (do_step24 step8) [30.000]
0.000: (do_step24 step7) [30.000]
0.000: (do_step24 step6) [30.000]
0.000: (do_step24 step5) [30.000]
0.000: (do_step24 step40) [30.000]
0.000: (do_step24 step39) [30.000]
0.000: (do_step24 step38) [30.000]
0.000: (do_step24 step37) [30.000]
0.000: (do_step24 step36) [30.000]
0.000: (do_step24 step35) [30.000]
0.000: (do_step24 step34) [30.000]
0.000: (do_step24 step33) [30.000]
0.000: (do_step24 step32) [30.000]
0.000: (do_step24 step31) [30.000]
0.000: (do_step24 step30) [30.000]
0.000: (do_step24 step29) [30.000]
0.000: (do_step24 step28) [30.000]
0.000: (do_step24 step27) [30.000]
0.000: (do_step24 step26) [30.000]
0.000: (do_step24 step25) [30.000]
0.000: (do_step24 step24) [30.000]
0.000: (do_step24 step23) [30.000]
0.000: (do_step24 step22) [30.000]
0.000: (do_step24 step21) [30.000]
0.000: (do_step24 step20) [30.000]
0.000: (do_step24 step19) [30.000]
0.000: (do_step24 step18) [30.000]
1200.001: (do_step9 step10) [900.000]
2100.002: (do_step8 step11) [120.000]
2220.003: (do_step23 step12) [300.000]
259200.001: (do_step21 step13) [43200.000]
302400.002: (do_step34 step14) [86400.000]
388800.003: (do_step36 step15) [300.000]
389100.004: (do_step35 step16) [900.000]
390000.005: (do_step33 step17) [600.000]
