0.000: (do_step_5 step1) [300.000]
0.000: (do_step_15 step2) [120.000]
0.000: (do_step_20 step9) [10.000]
0.000: (do_step_20 step8) [10.000]
0.000: (do_step_20 step7) [10.000]
0.000: (do_step_20 step6) [10.000]
0.000: (do_step_20 step5) [10.000]
0.000: (do_step_20 step40) [10.000]
0.000: (do_step_20 step4) [10.000]
0.000: (do_step_20 step39) [10.000]
0.000: (do_step_20 step38) [10.000]
0.000: (do_step_20 step37) [10.000]
0.000: (do_step_20 step36) [10.000]
0.000: (do_step_20 step35) [10.000]
0.000: (do_step_20 step34) [10.000]
0.000: (do_step_20 step33) [10.000]
0.000: (do_step_20 step32) [10.000]
0.000: (do_step_20 step31) [10.000]
0.000: (do_step_20 step30) [10.000]
0.000: (do_step_20 step3) [10.000]
0.000: (do_step_20 step29) [10.000]
0.000: (do_step_20 step28) [10.000]
0.000: (do_step_20 step27) [10.000]
0.000: (do_step_20 step26) [10.000]
0.000: (do_step_20 step25) [10.000]
0.000: (do_step_20 step24) [10.000]
0.000: (do_step_20 step23) [10.000]
0.000: (do_step_20 step22) [10.000]
0.000: (do_step_20 step21) [10.000]
0.000: (do_step_20 step20) [10.000]
0.000: (do_step_20 step19) [10.000]
0.000: (do_step_20 step18) [10.000]
0.000: (do_step_20 step17) [10.000]
0.000: (do_step_20 step16) [10.000]
0.000: (do_step_20 step15) [10.000]
0.000: (do_step_20 step14) [10.000]
0.000: (do_step_20 step13) [10.000]
0.000: (do_step_20 step12) [10.000]
0.000: (do_step_20 step11) [10.000]
300.001: (do_step_40 step10) [30.000]
